pl_name,VAE_anomaly,ESI_equal,CDHS,SEPHI_simple,pl_rade,pl_dens,pl_insol,st_teff,pl_orbeccen
Kepler-1045 b,0.005380449727496155,0.0,0.0,0.0,2.69,0.3938294010889292,19.127,5301.0,0.0
HIP 97166 c,0.005375144598656112,0.0,0.0,0.0,2.75,0.38294010889292196,30.7622,5216.0,0.0
Kepler-913 c,0.005368872241574321,0.0,0.0,0.0,3.8580709,0.24682395644283125,122.82,6068.0,0.0
Kepler-517 b,0.005354838375467074,0.0,0.0,7.114103309589895e-128,2.67,0.3992740471869329,10.555,5690.0,0.0
Kepler-1816 b,0.0053487307464304724,0.0,0.0,0.9730912340759189,1.9679397,0.5934664246823956,2.0,5051.0,0.0
Kepler-20 c,0.005340720318572912,0.30936558389806107,0.07824437676976623,0.0,2.894,0.455535390199637,78.7,5495.0,0.076
Kepler-1822 b,0.005324973725134071,0.0,0.0,0.0,2.64755943,0.40290381125226865,15.65,5165.0,0.0
Kepler-1190 b,0.005311058311297575,0.0,0.0,0.0,1.33,0.987295825771325,24.211,4730.0,0.0
HD 136352 c,0.005304328664453289,0.0,0.0,0.0,2.916,0.453297277676951,35.1,5664.0,0.0
Kepler-781 b,0.005303863989302783,0.0,0.0,0.0,2.89,0.35934664246823955,44.397,5162.0,0.0
Kepler-1721 b,0.0052681263707932465,0.0,0.0,0.0,3.11856756,0.32486388384754994,172.6,5351.0,0.0
Kepler-1784 b,0.005259946069676366,0.0,0.0,0.0,2.79936489,0.3738656987295826,64.8,5442.0,0.0
Kepler-860 b,0.005244455986472301,0.0,0.0,0.0,3.24,0.3103448275862069,233.621,5836.0,0.0
Kepler-531 b,0.005243776031798713,0.0,0.0,4.16033785090658e-112,2.78,0.37749546279491836,10.007,4893.0,0.0
Kepler-248 b,0.005237907309414963,0.0,0.0,0.0,3.02,0.33938294010889297,79.311,5190.0,0.0
Kepler-709 b,0.005225884968369769,0.0,0.0,0.0,2.92,0.35390199637023595,28.216,5071.0,0.0
TOI-5789 d,0.005225847139158001,0.4481477649234872,0.0699631351177952,7.1115254903157635e-304,1.91,0.6134301270417423,15.2098,5185.0,0.096
Kepler-463 b,0.00521353426412253,0.0,0.0,0.0,3.05,0.3357531760435572,166.039,5661.0,0.0
WASP-89 b,0.0052092466425519455,0.17165331531884123,0.06849388256664432,0.0,11.65736,1.2704174228675136,278.8533,5130.0,0.193
HD 39194 c,0.005199742358672083,0.3609146471541891,0.07049740877275915,0.0,2.65,0.4010889292196007,33.2512,5205.0,0.078
Kepler-1151 b,0.005186991165401287,0.0,0.0,6.035379267795323e-15,2.22,0.5063520871143375,4.86,5470.0,0.0
Kepler-1008 b,0.005186659388515775,0.0,0.0,0.0,1.28,1.0362976406533575,35.408,5066.0,0.0
Kepler-733 b,0.005171911015601068,0.0,0.0,0.0,2.82,0.3720508166969147,24.507,5418.0,0.0
Kepler-222 b,0.00514308784107528,0.0,0.0,0.0,3.16,0.3194192377495463,206.769,5433.0,0.0
Kepler-150 d,0.005140500600589004,0.0,0.0,0.0,2.79,0.3756805807622504,65.142,5560.0,0.0
TOI-5624 e,0.005139002949142246,0.0,0.0,0.0,3.247,0.26497277676951,21.9904,5327.0,0.0
