pl_name,pl_rade,pl_masse,pl_dens,pl_insol,st_teff,pl_orbeccen,pl_eqt,ESI_equal,ESI_sm,CDHS,mass_est,SEPHI_simple,recon_error,latent_dist,VAE_anomaly,mass_est_planet
Kepler-138 e,0.797,0.43,0.8475499092558983,1.73,3841.0,0.112,292.0,0.6582392830150487,0.5063084229279782,0.03405994550408371,1.7973342702825488,0.7898023935363627,1.3285851,0.9081127893237908,0.02944916463575844,0.4290819502558984
Teegarden's Star c,1.02,,0.987295825771325,0.35,3034.0,0.04,209.0,0.7297236690455837,0.40920118791293725,0.012502003526205941,4.388705363972197,0.89411491956246,2.0331578,0.7482267021729561,0.0293732295202151,1.0477262286751365
GJ 422 b,3.33,,0.29945553539019965,0.8928,3323.0,0.11,292.68,0.5217382873787809,0.5328323733019518,0.02022225784046299,46.31841133282155,0.9887309170598549,1.0939963,0.9507776837116931,0.02921387382975738,11.057706179673321
Kepler-276 d,2.8,16.3,0.13793103448275862,11.274,5693.0,0.0,489.0,0.0,0.0,0.0,12.683078975927009,3.5090916329295724e-150,0.34037292,1.0991267099665887,0.02873625414596862,3.0278620689655162
Kepler-1868 b,3.14950109,,0.32304900181488205,0.5,4658.0,0.0,215.0,0.0,0.0,0.0,42.27487204032589,0.9876449524050235,0.6783906,1.0100742327269838,0.0283954207651775,10.092382280692838
Kepler-1318 b,3.11,,0.3266787658802178,0.492,4598.0,0.0,202.0,0.0,0.0,0.0,41.16145164190952,0.9871938132066876,0.6969795,1.0012087716293643,0.02827884974836239,9.82657274047187
Kepler-61 b,2.15,,0.5281306715063522,1.69,4017.0,0.25,273.0,0.5070511566953038,0.4046012336281269,0.03876155366778283,21.985957250063045,0.9763946767221526,0.921402,0.950401783056071,0.028257630380671035,5.248760662431942
Kepler-11 f,2.49,2.0,0.12522686025408347,19.53,5663.0,0.013,513.0,0.4040475674397983,0.049198308473830804,0.08273227547147037,8.09811877881575,0.0,0.34985882,1.075485755691133,0.028205472286542355,1.9332834500907445
Kepler-970 b,2.609,,0.4101633393829401,11.111,4290.0,0.34,464.0,0.3354591111534234,0.0679376116814226,0.046054389058067656,30.51179001793989,6.147501116247208e-145,0.8714388,0.9441439964791251,0.027829221205863376,7.284153305905626
Barnard e,0.637,,0.7441016333938294,2.4456,3195.0,0.04,340.0,0.6946092936065785,0.43913145406333687,0.01680290644868218,0.8056365558916532,0.31089050294895787,1.7921528,0.7385284844636527,0.02781180986369891,0.19233156030852994
Kepler-452 b,1.63,,0.7568058076225046,1.1,5757.0,0.0,265.0,0.0,0.0,0.0,13.728904329626776,0.964576043831692,0.66029763,0.9883790987336639,0.02776129229759108,3.277534480943738
GJ 3293 d,2.67,,0.397459165154265,0.59,3466.0,0.12,241.22,0.5308376939327513,0.4296041409932592,0.024042314473469984,31.689465156488115,0.9832441011844728,1.1093407,0.8858994107494247,0.027698598222372917,7.5653025353902
HD 13808 c,3.13,,0.32304900181488205,5.6365,5035.0,0.156,424.57,0.4184910182298257,0.1476092747470663,0.06595608270554687,41.494451234167705,1.0513693121029065e-23,0.20267121,1.0854903245051177,0.02764454157258241,9.906070537205082
Kepler-186 f,1.17,,1.0653357531760437,0.3,3755.0,0.04,177.0,0.7182543234367079,0.36120983852708793,0.03176256878773023,7.147146709171989,0.927429800539753,1.5740986,0.7785940540510283,0.027603158562652094,1.7062555916515425
K2-32 d,3.484,6.7,0.15789473684210528,14.8,5271.0,0.05,550.0,0.37440126569903015,0.059509972915461194,0.07226051183414078,27.969886373777037,2.3095948143880177e-285,0.20120108,1.0689518540741623,0.027228746942575165,6.677318511157895
TRAPPIST-1 g,1.129,1.321,0.9176018148820326,0.252,2566.0,0.00208,197.3,0.5477511434641025,0.2462276650204884,0.0,5.531267969501794,0.8770057653932912,2.4455707,0.5689338267438515,0.027215854822172425,1.3204929583681224
Kepler-443 b,2.33,,0.4754990925589837,0.86,4723.0,0.11,233.0,0.6106126934378148,0.5939720188905925,0.05762141368807971,25.19451861657391,0.9791717623373939,0.5458411,0.9815564302407703,0.026965100422017666,6.014748264972778
Kepler-1086 c,2.94,,0.35208711433756806,0.519,4350.0,0.0,211.0,0.0,0.0,0.0,37.478373211900745,0.9859267480524068,0.7578484,0.9149963487489465,0.026487396220811452,8.947302533575318
