pl_name,pl_rade,pl_masse,pl_dens,pl_insol,st_teff,pl_orbeccen,pl_eqt
"Kepler-436 b",2.73000000,,2.130000,1.6900,4651.00,0.190000,322.00
"Kepler-84 b",2.23000000,4.00000000000000e+01,19.800000,222.1900,6039.00,0.000000,985.00
"MOA-2010-BLG-328L b",2.99000000,9.20000000000000e+00,1.890000,,,,
"8 UMi b",13.50000000,,1.170000,247.8402,4847.00,0.062000,1126.38
"Kepler-1093 b",1.95000000,,3.310000,98.8000,6166.00,0.000000,776.00
"KOI-351 e",2.66000000,,2.210000,10.2280,6080.00,0.000000,450.00
"Kepler-778 b",1.68000000,,4.010000,216.5680,5102.00,0.000000,977.00
"HD 101581 b",0.95600000,,5.200000,80.0000,4675.00,,834.00
"TOI-1883 b",5.65000000,1.37000000000000e+01,0.400000,14.7000,3554.00,0.000000,544.00
"Kepler-1522 b",1.73000000,,3.860000,1513.4570,5706.00,0.000000,1374.00
"Kepler-1245 b",1.44000000,,4.910000,194.3440,5306.00,0.000000,1043.00
"SWEEPS-11 b",12.66600000,3.08282000000000e+03,8.340000,,,,
"HD 159868 b",13.30000000,,1.650000,0.6680,5534.00,0.024000,255.69
"OGLE-2018-BLG-0799L b",10.90000000,8.26353858200000e+01,0.351000,,,,
"K2-220 b",2.37000000,,2.560000,79.7000,5612.00,,761.00
"Kepler-154 f",1.50000000,,4.660000,139.8840,5769.00,0.000000,838.00
"Kepler-1938 b",1.82828927,,3.600000,18.2500,4522.00,0.000000,527.00
"TOI-2322 c",1.87400000,1.81000000000000e+01,14.690000,10.1500,4664.00,0.000000,496.80
"WASP-53 c",,,,0.0247,4953.00,0.836900,110.47
"WASP-68 b",14.79588000,3.43256400000000e+02,0.665000,843.4794,5910.00,0.000000,1490.00
"Kepler-658 b",1.63000000,,4.170000,223.7450,4103.00,0.000000,871.00
"HD 76700 b",9.60000000,,0.415000,723.1837,5644.00,0.090000,1424.61
"Kepler-227 b",3.11000000,,1.800000,104.6410,5854.00,0.000000,793.00
"Kepler-260 b",2.01000000,,3.180000,132.1340,5250.00,0.000000,782.00
"Kepler-1089 b",1.83000000,,3.600000,26.2660,3753.00,0.000000,584.00
"HD 235088 b",1.98200000,4.15000000000000e+00,2.922216,70.0000,5075.00,0.000000,805.00
"NGTS-34 b",3.65000000,1.91000000000000e+01,2.160000,36.0339,6134.00,,624.00
"K2-138 f",2.90400000,1.63000000000000e+00,0.400000,51.0000,5356.30,0.062000,653.00
"TOI-1683.01",2.63820000,,2.230000,163.0560,4402.00,,929.25
"Kepler-18 c",5.49000000,1.73000000000000e+01,0.590000,126.0810,5345.00,0.000000,899.00
"Kepler-831 b",1.27000000,,5.770000,266.2490,5732.00,0.000000,992.00
"Kepler-221 c",2.93000000,9.30000000000000e+00,1.940000,119.8360,5243.00,0.000000,860.00
"KMT-2021-BLG-1253L b",4.59000000,1.90500000000000e+01,1.080000,,,,
"K2-257 b",0.83000000,,4.790000,89.1463,3725.00,,789.00
"Kepler-27 d",2.70619460,,2.160000,88.2000,5251.00,0.000000,810.00
"BD+55 362 b",14.00000000,,0.458000,0.7996,5012.00,0.270000,259.06
"Kepler-412 b",15.03126900,2.99078030000000e+02,0.520000,2144.3070,5750.00,0.003800,1850.00
"TOI-2158 b",10.76062147,2.60619293740000e+02,1.140000,81.4989,5673.00,0.070000,1188.00
"Kepler-651 b",2.37000000,,2.560000,27.2230,5522.00,0.000000,574.00
"HD 151450 b",6.94000000,,0.632000,66.5618,6091.98,0.496000,795.00
"HD 134987 b",13.50000000,,1.140000,2.7435,5736.00,0.230000,339.45
"CoRoT-8 b",6.39000000,6.99200000000000e+01,1.600000,100.3041,5080.00,0.000000,870.00
"K2-411 b",0.98980000,,5.310000,619.0380,5711.00,,1428.52
"TOI-6281 b",1.92416074,,3.360000,4181.0200,4533.23,,2240.00
"Kepler-1381 b",2.25000000,,2.740000,29.7010,5747.00,0.000000,649.00
"Kepler-1325 b",2.86000000,,2.010000,18.1530,5550.00,0.000000,564.00
