pl_name,pl_rade,pl_masse,pl_dens,pl_insol,st_teff,pl_orbeccen,pl_eqt,ESI_equal,ESI_sm,CDHS,mass,SEPHI_simple,VAE_anomaly
HD 23472 e,0.818,0.72,1.3611615245009074,46.7,4684.0,0.07,723.0,0.4059504004457457,0.022516560711590205,0.056579580060899956,3.1207442921267226,0.0,0.010076213931906684
Kepler-215 d,2.39,23.6,1.7241379310344829,21.404,5739.0,0.0,527.0,0.0,0.0,0.0,98.59486997196073,0.0,0.010054550666672695
Kepler-739 b,3.32,,0.29945553539019965,115.963,5601.0,0.0,775.0,0.0,0.0,0.0,45.90238019554175,0.0,0.010047839542815695
Kepler-949 b,2.91,,0.35571687840290384,58.442,5403.0,0.0,782.0,0.0,0.0,0.0,36.71741082369577,0.0,0.010046541838958116
TOI-1136 c,2.879,6.32,0.2631578947368421,232.392,5770.0,0.11,1062.0,0.21734135884158573,0.0029050628426492806,0.08559063952555895,26.30449734982261,0.0,0.010046221054925057
TOI-1710 b,5.06,19.1,0.14519056261343014,33.0,5775.0,0.05,602.99,0.300844020137508,0.024228039531529178,0.08572420793930217,78.791351138959,0.0,0.010043053726752849
Kepler-1722 b,2.86719266,,0.3629764065335753,76.14,5506.0,0.0,753.0,0.0,0.0,0.0,35.83749411927781,0.0,0.010041081376855292
Kepler-763 b,1.22,,1.087114337568058,974.089,5166.0,0.0,1414.0,0.0,0.0,0.0,8.268815940386196,0.0,0.010035869128924797
Kepler-1889 b,2.94360686,,0.3502722323049002,14.0,5646.0,0.0,493.0,0.0,0.0,0.0,37.42258112786638,6.921194482493673e-251,0.010028755650869857
Kepler-293 c,3.83,,0.2486388384754991,7.287,5804.0,0.0,466.0,0.0,0.0,0.0,58.5132067140221,2.7411716883565783e-49,0.010016323856050021
TOI-521 b,1.98,5.3,0.6896551724137931,66.0,3544.0,0.0,794.0,0.0,0.0,0.0,22.424159707111894,0.0,0.010006205138704873
Kepler-1682 b,2.88940836,,0.35934664246823955,54.74,5619.12,0.0,694.0,0.0,0.0,0.0,36.310227981990266,0.0,0.010004173780166199
HD 47186 b,5.02,,0.1753176043557169,441.6068,5657.0,0.04,1267.79,0.19201617875453666,0.0014770951015992885,0.08257199337500243,92.90204806419051,0.0,0.009997379236115976
Kepler-656 b,3.12,,0.32486388384754994,924.374,5281.0,0.0,1569.0,0.0,0.0,0.0,41.32889782334498,0.0,0.009981451236704266
Kepler-869 b,3.61,,0.26860254083484575,17.234,5664.0,0.0,494.0,0.0,0.0,0.0,52.932247141987716,0.0,0.009978539404539896
HD 204313 c,4.31,,0.21415607985480944,28.2644,5767.0,0.059,634.95,0.33148941532386583,0.030423224120714968,0.08551049847731526,71.82089755185245,0.0,0.00997563343774285
Kepler-148 b,1.8,,0.6660617059891107,609.017,5272.0,0.0,1284.0,0.0,0.0,0.0,16.271237717011477,0.0,0.009973653555350409
